date,asset,open,close,high,low,volume,source
2023-03-10,中证全债,224.1,224.1,224.1,224.1,,Archived course bond index series
2023-03-13,中证全债,224.22,224.22,224.22,224.22,,Archived course bond index series
2023-03-14,中证全债,224.25,224.25,224.25,224.25,,Archived course bond index series
2023-03-15,中证全债,224.3,224.3,224.3,224.3,,Archived course bond index series
2023-03-16,中证全债,224.34,224.34,224.34,224.34,,Archived course bond index series
2023-03-17,中证全债,224.49,224.49,224.49,224.49,,Archived course bond index series
2023-03-20,中证全债,224.63,224.63,224.63,224.63,,Archived course bond index series
2023-03-21,中证全债,224.58,224.58,224.58,224.58,,Archived course bond index series
2023-03-22,中证全债,224.71,224.71,224.71,224.71,,Archived course bond index series
2023-03-23,中证全债,224.76,224.76,224.76,224.76,,Archived course bond index series
2023-03-24,中证全债,224.7,224.7,224.7,224.7,,Archived course bond index series
2023-06-06,中证全债,226.42,226.42,226.42,226.42,,Archived course bond index series
2023-06-07,中证全债,226.48,226.48,226.48,226.48,,Archived course bond index series
2023-06-08,中证全债,226.52,226.52,226.52,226.52,,Archived course bond index series
2023-06-09,中证全债,226.55,226.55,226.55,226.55,,Archived course bond index series
2023-06-12,中证全债,226.61,226.61,226.61,226.61,,Archived course bond index series
2023-06-13,中证全债,226.82,226.82,226.82,226.82,,Archived course bond index series
2023-06-14,中证全债,226.9,226.9,226.9,226.9,,Archived course bond index series
2023-06-15,中证全债,226.94,226.94,226.94,226.94,,Archived course bond index series
2023-06-16,中证全债,226.88,226.88,226.88,226.88,,Archived course bond index series
2023-06-19,中证全债,226.96,226.96,226.96,226.96,,Archived course bond index series
2023-06-20,中证全债,227.02,227.02,227.02,227.02,,Archived course bond index series
2023-09-07,中证全债,229.18,229.18,229.18,229.18,,Archived course bond index series
2023-09-08,中证全债,229.2,229.2,229.2,229.2,,Archived course bond index series
2023-09-11,中证全债,229.17,229.17,229.17,229.17,,Archived course bond index series
2023-09-12,中证全债,229.24,229.24,229.24,229.24,,Archived course bond index series
2023-09-13,中证全债,229.28,229.28,229.28,229.28,,Archived course bond index series
2023-09-14,中证全债,229.42,229.42,229.42,229.42,,Archived course bond index series
2023-09-15,中证全债,229.56,229.56,229.56,229.56,,Archived course bond index series
2023-09-18,中证全债,229.61,229.61,229.61,229.61,,Archived course bond index series
2023-09-19,中证全债,229.57,229.57,229.57,229.57,,Archived course bond index series
2023-09-20,中证全债,229.63,229.63,229.63,229.63,,Archived course bond index series
2023-09-21,中证全债,229.66,229.66,229.66,229.66,,Archived course bond index series
2024-01-17,中证全债,232.65,232.65,232.65,232.65,,Archived course bond index series
2024-01-18,中证全债,232.72,232.72,232.72,232.72,,Archived course bond index series
2024-01-19,中证全债,232.81,232.81,232.81,232.81,,Archived course bond index series
2024-01-22,中证全债,232.88,232.88,232.88,232.88,,Archived course bond index series
2024-01-23,中证全债,232.91,232.91,232.91,232.91,,Archived course bond index series
2024-01-24,中证全债,233.24,233.24,233.24,233.24,,Archived course bond index series
2024-01-25,中证全债,233.38,233.38,233.38,233.38,,Archived course bond index series
2024-01-26,中证全债,233.42,233.42,233.42,233.42,,Archived course bond index series
2024-01-29,中证全债,233.51,233.51,233.51,233.51,,Archived course bond index series
2024-01-30,中证全债,233.56,233.56,233.56,233.56,,Archived course bond index series
2024-01-31,中证全债,233.6,233.6,233.6,233.6,,Archived course bond index series
2024-02-05,中证全债,233.88,233.88,233.88,233.88,,Archived course bond index series
2024-02-06,中证全债,233.94,233.94,233.94,233.94,,Archived course bond index series
2024-02-07,中证全债,234.02,234.02,234.02,234.02,,Archived course bond index series
2024-02-08,中证全债,234.1,234.1,234.1,234.1,,Archived course bond index series
2024-02-19,中证全债,234.25,234.25,234.25,234.25,,Archived course bond index series
2024-02-20,中证全债,234.39,234.39,234.39,234.39,,Archived course bond index series
2024-02-21,中证全债,234.44,234.44,234.44,234.44,,Archived course bond index series
2024-02-22,中证全债,234.46,234.46,234.46,234.46,,Archived course bond index series
2024-02-23,中证全债,234.52,234.52,234.52,234.52,,Archived course bond index series
2024-02-26,中证全债,234.49,234.49,234.49,234.49,,Archived course bond index series
2024-02-27,中证全债,234.55,234.55,234.55,234.55,,Archived course bond index series
2024-07-15,中证全债,238.16,238.16,238.16,238.16,,Archived course bond index series
2024-07-16,中证全债,238.2,238.2,238.2,238.2,,Archived course bond index series
2024-07-17,中证全债,238.22,238.22,238.22,238.22,,Archived course bond index series
2024-07-18,中证全债,238.26,238.26,238.26,238.26,,Archived course bond index series
2024-07-19,中证全债,238.31,238.31,238.31,238.31,,Archived course bond index series
2024-07-22,中证全债,238.55,238.55,238.55,238.55,,Archived course bond index series
2024-07-23,中证全债,238.62,238.62,238.62,238.62,,Archived course bond index series
2024-07-24,中证全债,238.68,238.68,238.68,238.68,,Archived course bond index series
2024-07-25,中证全债,238.73,238.73,238.73,238.73,,Archived course bond index series
2024-07-26,中证全债,238.75,238.75,238.75,238.75,,Archived course bond index series
2024-07-29,中证全债,238.8,238.8,238.8,238.8,,Archived course bond index series
2024-09-18,中证全债,241.02,241.02,241.02,241.02,,Archived course bond index series
2024-09-19,中证全债,241.05,241.05,241.05,241.05,,Archived course bond index series
2024-09-20,中证全债,241.09,241.09,241.09,241.09,,Archived course bond index series
2024-09-23,中证全债,241.12,241.12,241.12,241.12,,Archived course bond index series
2024-09-24,中证全债,241.3,241.3,241.3,241.3,,Archived course bond index series
2024-09-25,中证全债,241.22,241.22,241.22,241.22,,Archived course bond index series
2024-09-26,中证全债,241.18,241.18,241.18,241.18,,Archived course bond index series
2024-09-27,中证全债,241.11,241.11,241.11,241.11,,Archived course bond index series
2024-09-30,中证全债,240.92,240.92,240.92,240.92,,Archived course bond index series
2024-10-08,中证全债,240.98,240.98,240.98,240.98,,Archived course bond index series
2024-10-09,中证全债,241.04,241.04,241.04,241.04,,Archived course bond index series
2024-10-14,中证全债,241.31,241.31,241.31,241.31,,Archived course bond index series
2024-10-15,中证全债,241.37,241.37,241.37,241.37,,Archived course bond index series
2024-10-16,中证全债,241.43,241.43,241.43,241.43,,Archived course bond index series
2024-10-17,中证全债,241.46,241.46,241.46,241.46,,Archived course bond index series
2024-10-18,中证全债,241.5,241.5,241.5,241.5,,Archived course bond index series
2024-10-21,中证全债,241.7,241.7,241.7,241.7,,Archived course bond index series
2024-10-22,中证全债,241.74,241.74,241.74,241.74,,Archived course bond index series
2024-10-23,中证全债,241.78,241.78,241.78,241.78,,Archived course bond index series
2024-10-24,中证全债,241.82,241.82,241.82,241.82,,Archived course bond index series
2024-10-25,中证全债,241.8,241.8,241.8,241.8,,Archived course bond index series
2024-10-28,中证全债,241.86,241.86,241.86,241.86,,Archived course bond index series
2025-04-29,中证全债,246.15,246.15,246.15,246.15,,Archived course bond index series
2025-04-30,中证全债,246.21,246.21,246.21,246.21,,Archived course bond index series
2025-05-06,中证全债,246.31,246.31,246.31,246.31,,Archived course bond index series
2025-05-07,中证全债,246.56,246.56,246.56,246.56,,Archived course bond index series
2025-05-08,中证全债,246.66,246.66,246.66,246.66,,Archived course bond index series
2025-05-09,中证全债,246.71,246.71,246.71,246.71,,Archived course bond index series
2025-05-12,中证全债,246.75,246.75,246.75,246.75,,Archived course bond index series
2025-05-13,中证全债,246.72,246.72,246.72,246.72,,Archived course bond index series
2025-05-14,中证全债,246.78,246.78,246.78,246.78,,Archived course bond index series
2025-05-15,中证全债,246.82,246.82,246.82,246.82,,Archived course bond index series
2025-05-16,中证全债,246.8,246.8,246.8,246.8,,Archived course bond index series
2023-01-03,沪深300,3864.84,3887.9,3893.99,3831.25,115051875.0,Tencent qfq daily kline
2023-01-04,沪深300,3886.25,3892.95,3905.9,3873.65,110660743.0,Tencent qfq daily kline
2023-01-05,沪深300,3913.49,3968.58,3974.88,3912.26,116502395.0,Tencent qfq daily kline
2023-01-06,沪深300,3969.55,3980.89,4000.41,3966.47,110953038.0,Tencent qfq daily kline
2023-01-09,沪深300,3998.53,4013.12,4023.09,3990.71,117054425.0,Tencent qfq daily kline
2023-01-10,沪深300,4014.71,4017.47,4030.46,4002.23,101751141.0,Tencent qfq daily kline
2023-01-11,沪深300,4019.88,4010.03,4043.4,4008.02,99997889.0,Tencent qfq daily kline
2023-01-12,沪深300,4021.75,4017.87,4030.29,4003.51,90552627.0,Tencent qfq daily kline
2023-01-13,沪深300,4032.29,4074.38,4074.38,4027.89,95871896.0,Tencent qfq daily kline
2023-01-16,沪深300,4077.88,4137.96,4177.1,4076.64,151395455.0,Tencent qfq daily kline
2023-01-17,沪深300,4138.84,4137.24,4148.58,4118.16,95479040.0,Tencent qfq daily kline
2023-01-18,沪深300,4140.1,4130.31,4151.46,4125.77,84200645.0,Tencent qfq daily kline
2023-01-19,沪深300,4125.58,4156.01,4156.01,4105.98,94608398.0,Tencent qfq daily kline
2023-01-20,沪深300,4166.84,4181.53,4189.83,4161.67,123553809.0,Tencent qfq daily kline
2023-01-30,沪深300,4267.62,4201.35,4268.15,4197.86,164607064.0,Tencent qfq daily kline
2023-01-31,沪深300,4200.58,4156.86,4212.73,4153.05,124550835.0,Tencent qfq daily kline
2023-02-01,沪深300,4170.13,4195.93,4195.93,4137.77,141008954.0,Tencent qfq daily kline
2023-02-02,沪深300,4207.41,4181.15,4207.41,4170.56,133823736.0,Tencent qfq daily kline
2023-02-03,沪深300,4162.03,4141.63,4162.03,4103.17,117041221.0,Tencent qfq daily kline
2023-02-06,沪深300,4103.83,4086.88,4105.94,4065.22,110192717.0,Tencent qfq daily kline
2023-02-07,沪深300,4098.31,4094.23,4107.34,4077.96,91360072.0,Tencent qfq daily kline
2023-02-08,沪深300,4099.86,4076.14,4111.47,4072.65,84786099.0,Tencent qfq daily kline
2023-02-09,沪深300,4067.56,4130.86,4130.86,4064.75,102289961.0,Tencent qfq daily kline
2023-02-10,沪深300,4124.1,4106.31,4125.29,4092.35,96716733.0,Tencent qfq daily kline
2023-02-13,沪深300,4098.88,4143.57,4146.45,4092.27,128892577.0,Tencent qfq daily kline
2023-02-14,沪深300,4151.25,4145.29,4152.05,4125.26,102499890.0,Tencent qfq daily kline
2023-02-15,沪深300,4146.85,4123.69,4153.72,4115.97,121664508.0,Tencent qfq daily kline
2023-02-16,沪深300,4125.41,4093.49,4167.9,4068.86,159310585.0,Tencent qfq daily kline
2023-02-17,沪深300,4086.22,4034.51,4104.64,4032.93,116142589.0,Tencent qfq daily kline
2023-02-20,沪深300,4039.96,4133.49,4134.86,4035.48,161794481.0,Tencent qfq daily kline
2023-02-21,沪深300,4130.06,4144.35,4151.8,4116.27,145776173.0,Tencent qfq daily kline
2023-02-22,沪深300,4118.97,4106.95,4134.88,4101.86,104290295.0,Tencent qfq daily kline
2023-02-23,沪深300,4106.21,4103.65,4132.39,4088.21,103564906.0,Tencent qfq daily kline
2023-02-24,沪深300,4100.99,4061.05,4102.61,4048.24,100989425.0,Tencent qfq daily kline
2023-02-27,沪深300,4040.46,4043.84,4067.03,4034.52,93787630.0,Tencent qfq daily kline
2023-02-28,沪深300,4058.13,4069.46,4074.26,4026.45,110323591.0,Tencent qfq daily kline
2023-03-01,沪深300,4068.73,4126.94,4135.48,4061.22,156015794.0,Tencent qfq daily kline
2023-03-02,沪深300,4119.99,4117.74,4137.25,4113.83,148217637.0,Tencent qfq daily kline
2023-03-03,沪深300,4126.02,4130.55,4135.21,4100.38,160331741.0,Tencent qfq daily kline
2023-03-06,沪深300,4131.15,4109.01,4132.84,4088.45,162971807.0,Tencent qfq daily kline
2023-03-07,沪深300,4103.64,4048.85,4124.96,4046.57,195912068.0,Tencent qfq daily kline
2023-03-08,沪深300,4030.74,4034.11,4037.29,4011.52,117936493.0,Tencent qfq daily kline
2023-03-09,沪深300,4035.84,4019.85,4043.85,4000.89,116539629.0,Tencent qfq daily kline
2023-03-10,沪深300,3991.8,3967.14,4004.36,3966.43,123855409.0,Tencent qfq daily kline
2023-03-13,沪深300,3962.64,4008.69,4008.69,3962.64,143561370.0,Tencent qfq daily kline
2023-03-14,沪深300,3999.88,3984.7,4001.94,3946.94,150544174.0,Tencent qfq daily kline
2023-03-15,沪深300,4011.84,3986.9,4018.75,3986.9,142026007.0,Tencent qfq daily kline
2023-03-16,沪深300,3958.2,3939.15,3981.32,3936.48,152515644.0,Tencent qfq daily kline
2023-03-17,沪深300,3971.16,3958.82,4004.22,3945.25,177433818.0,Tencent qfq daily kline
2023-03-20,沪深300,3962.66,3939.08,3979.55,3935.02,205264970.0,Tencent qfq daily kline
2023-03-21,沪深300,3948.16,3982.38,3982.7,3948.16,145090679.0,Tencent qfq daily kline
2023-03-22,沪深300,3993.78,3999.44,4016.45,3986.71,149228970.0,Tencent qfq daily kline
2023-03-23,沪深300,3985.99,4039.09,4039.09,3984.0,158887421.0,Tencent qfq daily kline
2023-03-24,沪深300,4035.16,4027.05,4037.84,4017.0,159442330.0,Tencent qfq daily kline
2023-03-27,沪深300,4023.3,4012.48,4023.3,3987.03,168482279.0,Tencent qfq daily kline
2023-03-28,沪深300,4015.7,3999.51,4023.78,3994.6,131895117.0,Tencent qfq daily kline
2023-03-29,沪深300,4013.59,4006.14,4017.76,3992.67,133743510.0,Tencent qfq daily kline
2023-03-30,沪深300,4009.56,4038.53,4040.5,3983.9,149901037.0,Tencent qfq daily kline
2023-03-31,沪深300,4045.45,4050.93,4063.57,4039.96,138842546.0,Tencent qfq daily kline
2023-04-03,沪深300,4059.62,4090.57,4094.94,4059.06,182124313.0,Tencent qfq daily kline
2023-04-04,沪深300,4089.29,4103.11,4103.16,4080.07,197146631.0,Tencent qfq daily kline
2023-04-06,沪深300,4084.13,4096.64,4098.83,4078.4,150703374.0,Tencent qfq daily kline
2023-04-07,沪深300,4096.9,4123.28,4131.31,4092.18,128676738.0,Tencent qfq daily kline
2023-04-10,沪深300,4132.01,4104.81,4132.3,4099.05,152453002.0,Tencent qfq daily kline
2023-04-11,沪深300,4108.51,4100.15,4116.12,4083.49,153901333.0,Tencent qfq daily kline
2023-04-12,沪深300,4102.4,4097.29,4108.25,4090.28,165965278.0,Tencent qfq daily kline
2023-04-13,沪深300,4081.39,4068.98,4088.88,4059.57,156444295.0,Tencent qfq daily kline
2023-04-14,沪深300,4078.97,4092.0,4098.22,4075.2,150695682.0,Tencent qfq daily kline
2023-04-17,沪深300,4090.07,4149.38,4149.38,4089.51,188773095.0,Tencent qfq daily kline
2023-04-18,沪深300,4139.31,4162.03,4169.67,4138.46,170184130.0,Tencent qfq daily kline
2023-04-19,沪深300,4159.39,4124.56,4159.39,4118.63,162554592.0,Tencent qfq daily kline
2023-04-20,沪深300,4122.95,4113.02,4125.82,4094.0,162706677.0,Tencent qfq daily kline
2023-04-21,沪深300,4114.26,4032.57,4114.26,4031.91,180802435.0,Tencent qfq daily kline
2023-04-24,沪深300,4031.3,3982.64,4033.64,3967.91,170099217.0,Tencent qfq daily kline
2023-04-25,沪深300,3985.11,3962.67,3991.69,3925.44,172555409.0,Tencent qfq daily kline
2023-04-26,沪深300,3950.26,3959.23,3975.66,3934.66,162702006.0,Tencent qfq daily kline
2023-04-27,沪深300,3948.03,3988.42,3999.13,3942.82,153828195.0,Tencent qfq daily kline
2023-04-28,沪深300,3993.26,4029.09,4030.45,3993.26,179508488.0,Tencent qfq daily kline
2023-05-04,沪深300,4013.47,4030.25,4035.78,4001.13,227582846.0,Tencent qfq daily kline
2023-05-05,沪深300,4031.09,4016.88,4047.6,3998.39,206626924.0,Tencent qfq daily kline
2023-05-08,沪深300,4028.11,4062.66,4070.77,4018.96,255583085.0,Tencent qfq daily kline
2023-05-09,沪深300,4065.44,4027.88,4092.85,4026.39,279306048.0,Tencent qfq daily kline
2023-05-10,沪深300,4017.94,3996.87,4019.06,3984.63,207552709.0,Tencent qfq daily kline
2023-05-11,沪深300,4005.78,3990.66,4018.06,3988.48,144804619.0,Tencent qfq daily kline
2023-05-12,沪深300,3987.77,3937.76,3999.38,3937.53,144421728.0,Tencent qfq daily kline
2023-05-15,沪深300,3938.83,3998.89,3998.89,3923.03,176257362.0,Tencent qfq daily kline
2023-05-16,沪深300,4002.52,3978.21,4005.02,3966.99,136833271.0,Tencent qfq daily kline
2023-05-17,沪深300,3971.7,3960.17,3982.6,3945.71,118448185.0,Tencent qfq daily kline
2023-05-18,沪深300,3965.52,3956.07,3982.72,3939.55,136533947.0,Tencent qfq daily kline
2023-05-19,沪深300,3946.22,3944.54,3967.28,3928.32,120212479.0,Tencent qfq daily kline
2023-05-22,沪深300,3941.0,3969.33,3985.4,3935.8,109116605.0,Tencent qfq daily kline
2023-05-23,沪深300,3968.23,3913.19,3971.94,3913.19,118685077.0,Tencent qfq daily kline
2023-05-24,沪深300,3903.78,3859.09,3903.78,3859.09,137258265.0,Tencent qfq daily kline
2023-05-25,沪深300,3851.41,3850.5,3861.38,3817.84,124150770.0,Tencent qfq daily kline
2023-05-26,沪深300,3848.42,3850.95,3859.63,3815.57,100326439.0,Tencent qfq daily kline
2023-05-29,沪深300,3862.08,3833.94,3866.72,3819.18,131859967.0,Tencent qfq daily kline
2023-05-30,沪深300,3827.79,3837.75,3844.01,3789.27,137619629.0,Tencent qfq daily kline
2023-05-31,沪深300,3827.16,3798.54,3827.16,3781.4,126387368.0,Tencent qfq daily kline
2023-06-01,沪深300,3788.59,3806.87,3832.21,3786.73,134561881.0,Tencent qfq daily kline
2023-06-02,沪深300,3821.62,3861.83,3865.28,3821.62,125015110.0,Tencent qfq daily kline
2023-06-05,沪深300,3860.56,3844.25,3860.56,3832.46,116163989.0,Tencent qfq daily kline
2023-06-06,沪深300,3840.46,3808.16,3867.85,3802.84,125781258.0,Tencent qfq daily kline
2023-06-07,沪深300,3815.48,3789.34,3823.11,3780.1,98862432.0,Tencent qfq daily kline
2023-06-08,沪深300,3791.08,3820.19,3834.39,3777.78,118700934.0,Tencent qfq daily kline
2023-06-09,沪深300,3822.41,3836.7,3836.7,3811.22,134319863.0,Tencent qfq daily kline
2023-06-12,沪深300,3827.33,3844.43,3859.72,3813.86,126758543.0,Tencent qfq daily kline
2023-06-13,沪深300,3838.13,3864.91,3867.3,3833.46,110924946.0,Tencent qfq daily kline
2023-06-14,沪深300,3872.72,3864.02,3891.67,3862.06,124955759.0,Tencent qfq daily kline
2023-06-15,沪深300,3871.77,3925.5,3925.5,3871.77,128369938.0,Tencent qfq daily kline
2023-06-16,沪深300,3932.21,3963.35,3968.01,3928.54,139760076.0,Tencent qfq daily kline
2023-06-19,沪深300,3957.03,3930.91,3957.03,3922.47,134905848.0,Tencent qfq daily kline
2023-06-20,沪深300,3926.09,3924.24,3937.49,3918.47,122520318.0,Tencent qfq daily kline
2023-06-21,沪深300,3909.1,3864.03,3920.13,3864.03,118346575.0,Tencent qfq daily kline
2023-06-26,沪深300,3833.44,3809.7,3841.29,3801.05,133990419.0,Tencent qfq daily kline
2023-06-27,沪深300,3811.69,3845.43,3851.9,3806.32,116992681.0,Tencent qfq daily kline
2023-06-28,沪深300,3836.61,3840.8,3846.85,3808.16,107021541.0,Tencent qfq daily kline
2023-06-29,沪深300,3836.73,3821.84,3840.71,3817.38,98289274.0,Tencent qfq daily kline
2023-06-30,沪深300,3816.33,3842.45,3860.03,3813.55,101268429.0,Tencent qfq daily kline
2023-07-03,沪深300,3853.29,3892.88,3897.33,3853.29,133158051.0,Tencent qfq daily kline
2023-07-04,沪深300,3888.03,3899.01,3899.98,3878.4,109494527.0,Tencent qfq daily kline
2023-07-05,沪深300,3895.19,3868.81,3899.52,3864.13,97636384.0,Tencent qfq daily kline
2023-07-06,沪深300,3857.03,3842.75,3876.89,3836.46,100121842.0,Tencent qfq daily kline
2023-07-07,沪深300,3831.6,3825.7,3844.84,3819.08,100906920.0,Tencent qfq daily kline
2023-07-10,沪深300,3841.56,3844.33,3865.46,3831.92,92033441.0,Tencent qfq daily kline
2023-07-11,沪深300,3853.8,3869.49,3870.65,3844.52,86510716.0,Tencent qfq daily kline
2023-07-12,沪深300,3864.6,3843.44,3874.04,3838.56,111522024.0,Tencent qfq daily kline
2023-07-13,沪深300,3855.66,3898.42,3901.1,3855.66,120300232.0,Tencent qfq daily kline
2023-07-14,沪深300,3904.6,3899.1,3908.49,3893.79,122364846.0,Tencent qfq daily kline
2023-07-17,沪深300,3881.62,3867.17,3881.62,3852.26,98340144.0,Tencent qfq daily kline
2023-07-18,沪深300,3871.04,3854.94,3871.04,3844.51,91438615.0,Tencent qfq daily kline
2023-07-19,沪深300,3848.48,3850.87,3860.01,3830.41,79585700.0,Tencent qfq daily kline
